COD_ACQ,CAP,ETICHETTA
ACQ001,57020,http://www.datiopen.it/asa_qualita_acque/ACQ001.pdf
ACQ002,57020,http://www.datiopen.it/asa_qualita_acque/ACQ002.pdf
ACQ003,57020,http://www.datiopen.it/asa_qualita_acque/ACQ003.pdf
ACQ006,57021,http://www.datiopen.it/asa_qualita_acque/ACQ006.pdf
ACQ007,57034,http://www.datiopen.it/asa_qualita_acque/ACQ007.pdf
ACQ008,57034,http://www.datiopen.it/asa_qualita_acque/ACQ008.pdf
ACQ010,57031,http://www.datiopen.it/asa_qualita_acque/ACQ010-capoliveri.pdf
ACQ010,57031,http://www.datiopen.it/asa_qualita_acque/ACQ010-p_azzurro.pdf
ACQ011,57032,http://www.datiopen.it/asa_qualita_acque/ACQ011.pdf
ACQ012,56040,http://www.datiopen.it/asa_qualita_acque/ACQ012.pdf
ACQ014,56040,http://www.datiopen.it/asa_qualita_acque/ACQ014.pdf
ACQ014,56040,http://www.datiopen.it/asa_qualita_acque/ACQ014.pdf
ACQ015,56041,http://www.datiopen.it/asa_qualita_acque/ACQ015.pdf
ACQ016,56041,http://www.datiopen.it/asa_qualita_acque/ACQ016.pdf
ACQ017,56041,http://www.datiopen.it/asa_qualita_acque/ACQ017.pdf
ACQ018,56041,http://www.datiopen.it/asa_qualita_acque/ACQ018.pdf
ACQ019,57023,http://www.datiopen.it/asa_qualita_acque/ACQ019.pdf
ACQ020,57014,http://www.datiopen.it/asa_qualita_acque/ACQ020-DEF.pdf
ACQ021,56040,http://www.datiopen.it/asa_qualita_acque/ACQ021.pdf
ACQ022,57100,http://www.datiopen.it/asa_qualita_acque/ACQ022_S.pdf
ACQ022,57100,http://www.datiopen.it/asa_qualita_acque/ACQ022_N.pdf
ACQ023,57034,http://www.datiopen.it/asa_qualita_acque/ACQ023.pdf
ACQ024,57030,http://www.datiopen.it/asa_qualita_acque/ACQ024.pdf
ACQ025,57033,http://www.datiopen.it/asa_qualita_acque/ACQ025.pdf
ACQ026,56040,http://www.datiopen.it/asa_qualita_acque/ACQ026.pdf
ACQ027,56040,http://www.datiopen.it/asa_qualita_acque/ACQ027.pdf
ACQ028,56040,http://www.datiopen.it/asa_qualita_acque/ACQ028.pdf
ACQ029,56040,http://www.datiopen.it/asa_qualita_acque/ACQ029.pdf
ACQ030,56040,http://www.datiopen.it/asa_qualita_acque/ACQ030.pdf
ACQ031,56040,http://www.datiopen.it/asa_qualita_acque/ACQ031.pdf
ACQ032,56040,http://www.datiopen.it/asa_qualita_acque/ACQ032.pdf
ACQ033,57025,http://www.datiopen.it/asa_qualita_acque/ACQ033.pdf
ACQ038,56045,http://www.datiopen.it/asa_qualita_acque/ACQ038.pdf
ACQ039,56045,http://www.datiopen.it/asa_qualita_acque/ACQ039.pdf
ACQ040,56045,http://www.datiopen.it/asa_qualita_acque/ACQ040.pdf
ACQ041,56045,http://www.datiopen.it/asa_qualita_acque/ACQ041.pdf
ACQ042,56045,http://www.datiopen.it/asa_qualita_acque/ACQ042.pdf
ACQ044,56045,http://www.datiopen.it/asa_qualita_acque/ACQ044.pdf
ACQ046,57037,http://www.datiopen.it/asa_qualita_acque/ACQ046-Portoferraio.pdf
ACQ048,53030,http://www.datiopen.it/asa_qualita_acque/ACQ048.pdf
ACQ049,57038,http://www.datiopen.it/asa_qualita_acque/ACQ049.pdf
ACQ050,57038,http://www.datiopen.it/asa_qualita_acque/ACQ050-RIO.pdf
ACQ050,57039,http://www.datiopen.it/asa_qualita_acque/ACQ050-NISPORTINO.pdf
ACQ050,57039,http://www.datiopen.it/asa_qualita_acque/ACQ050-NISPORTO.pdf
ACQ051,57039,http://www.datiopen.it/asa_qualita_acque/ACQ051-RIO.pdf
