,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,60,22,0.732,—,101.6,95.4,5.87,1993,New York Knicks
1,48,34,0.585,12.0,103.7,102.8,0.93,1993,Boston Celtics
2,43,39,0.524,17.0,102.8,101.6,1.2,1993,New Jersey Nets
3,41,41,0.5,19.0,105.5,104.2,1.35,1993,Orlando Magic
4,36,46,0.439,24.0,103.6,104.7,-0.93,1993,Miami Heat
5,26,56,0.317,34.0,104.3,110.1,-5.25,1993,Philadelphia 76ers
6,22,60,0.268,38.0,101.9,108.9,-6.49,1993,Washington Bullets
7,57,25,0.695,—,105.2,98.9,6.19,1993,Chicago Bulls
8,54,28,0.659,3.0,107.7,101.3,6.3,1993,Cleveland Cavaliers
9,44,38,0.537,13.0,110.1,110.4,-0.02,1993,Charlotte Hornets
10,43,39,0.524,14.0,107.5,108.4,-0.67,1993,Atlanta Hawks
11,41,41,0.5,16.0,107.8,106.1,1.77,1993,Indiana Pacers
12,40,42,0.488,17.0,100.6,102.0,-1.1,1993,Detroit Pistons
13,28,54,0.341,29.0,102.3,106.1,-3.26,1993,Milwaukee Bucks
14,55,27,0.671,—,104.0,99.8,3.57,1993,Houston Rockets
15,49,33,0.598,6.0,105.5,102.8,2.21,1993,San Antonio Spurs
16,47,35,0.573,8.0,106.2,104.0,1.74,1993,Utah Jazz
17,36,46,0.439,19.0,105.2,106.9,-2.14,1993,Denver Nuggets
18,19,63,0.232,36.0,98.1,105.9,-7.62,1993,Minnesota Timberwolves
19,11,71,0.134,44.0,99.3,114.5,-14.68,1993,Dallas Mavericks
20,62,20,0.756,—,113.4,106.7,6.27,1993,Phoenix Suns
21,55,27,0.671,7.0,108.3,101.3,6.66,1993,Seattle SuperSonics
22,51,31,0.622,11.0,108.5,105.4,2.92,1993,Portland Trail Blazers
23,41,41,0.5,21.0,107.1,106.8,0.33,1993,Los Angeles Clippers
24,39,43,0.476,23.0,104.2,105.5,-1.2,1993,Los Angeles Lakers
25,34,48,0.415,28.0,109.9,110.9,-0.94,1993,Golden State Warriors
26,25,57,0.305,37.0,107.9,111.1,-3.0,1993,Sacramento Kings
